ts_local,mode,asset,direction,note,schedule_ts,schedule_str,payout,tf_s
2025-08-17T20:29:38,live,UKBrent_otc,put,parallel_scan score=0.73 mode=ema_cross,,,90.0,60
2025-08-17T20:34:16,live,TRXUSD_otc,call,parallel_scan score=0.75 mode=momentum,,,93.0,60
2025-08-17T20:38:53,live,PFE_otc,put,parallel_scan score=0.78 mode=trend_follow,,,81.0,60
2025-08-17T20:42:15,live,ZECUSD_otc,put,parallel_scan score=0.71 mode=ema_cross,,,93.0,60
2025-08-17T20:43:10,live,AXSUSD_otc,call,parallel_scan score=0.68 mode=ema_cross,,,81.0,60
2025-08-17T20:48:32,live,CADCHF_otc,call,parallel_scan score=0.83 mode=ema_cross,,,88.0,60
2025-08-18T07:48:46,live,ZECUSD_otc,put,parallel_scan score=0.73 mode=ema_cross,,,93.0,60
2025-08-18T07:59:56,live,EURUSD_otc,call,parallel_scan score=0.76 mode=momentum,,,93.0,60
2025-08-18T08:05:42,live,ETHUSD_otc,put,parallel_scan score=0.78 mode=trend_follow,,,93.0,60
2025-08-18T08:27:22,live,XAGUSD_otc,call,parallel_scan score=0.81 mode=momentum,,,80.0,60
2025-08-18T08:37:16,live,TONUSD_otc,call,parallel_scan score=0.82 mode=trend_follow,,,93.0,60
2025-08-18T09:01:47,live,ZECUSD_otc,put,parallel_scan score=0.81 mode=trend_follow,,,93.0,60
2025-08-18T09:12:29,live,TRUUSD_otc,call,parallel_scan score=0.77 mode=ema_cross,,,93.0,60
2025-08-18T12:47:27,live,BCHUSD_otc,put,parallel_scan score=0.76 mode=momentum,,,93.0,60
2025-08-18T12:47:38,live,BTCUSD_otc,put,parallel_scan score=0.82 mode=momentum,,,71.0,60
2025-08-18T12:54:03,live,TRUUSD_otc,put,parallel_scan score=0.75 mode=ema_cross,,,93.0,60
2025-08-18T13:06:17,live,GBPAUD_otc,put,parallel_scan score=0.82 mode=momentum,,,93.0,60
2025-08-18T13:10:29,live,ATOUSD_otc,put,parallel_scan score=0.76 mode=ema_cross,,,81.0,60
